"Title","ID","Created Date","Updated Date","Owner","user","notes","project"
,"00088ea1-f0fb-4b7f-8c3e-2504a86b8498",2025-08-01T06:26:56Z,2025-08-01T06:26:56Z,"01f011dc-8d52-4de4-9524-780ccef3313b","a1bf0c8d-7413-4891-861f-f83c093a57ef","<p>the activity : seo audit will be scheduled next week.</p>","90f693b9-af56-47a1-9965-98bf0326b43e"
,"01dcdb43-da94-45b0-8513-31ae712c262e",2026-02-13T21:41:56Z,2026-02-13T21:41:56Z,"01f011dc-8d52-4de4-9524-780ccef3313b","5c084634-6869-4e43-a13e-fbede7b594d4","<p><span style=""font-weight:bold"">Social Media Credentials:</span></p><p>https://docs.google.com/spreadsheets/d/152keoIbF_MByaGWSlc0R9N3I9kmGoI4w7JM0sJKE9X4/edit?usp=sharing</p>","90f5bb8e-1da9-441f-b63b-1941b663318b"
,"023de96d-37ee-4449-bd8f-868e12adf6ff",2025-07-06T10:29:44Z,2025-07-06T10:29:44Z,"01f011dc-8d52-4de4-9524-780ccef3313b","a25ca145-086d-426e-9d64-e6f1a13f5a29","<p><span style=""font-weight:bold"">Pending: Website Design</span><br/> <span style=""font-weight:bold"">Finance – New Features (when Shenna returns to Dubai)</span></p>","eff50452-4ed1-4ae1-84b4-84d1e642cab1"
,"096cf021-2077-4bb1-93f0-64983e0df5a4",2026-01-05T12:32:15Z,2026-01-05T12:32:15Z,"01f011dc-8d52-4de4-9524-780ccef3313b","9f3c0fa1-d627-46e1-af60-4cb88b4e682c","<p>Updated Marketing Campaigns</p><p>https://docs.google.com/spreadsheets/d/16MfiEemMXp_MTw8w9Faa0nPmhXT2QlzpUZwnQAqcw08/edit?usp=sharing</p>","be5a7ff1-e84f-43fb-b6de-579ec9c8315d"
,"0da4a920-2b54-4c0c-9d3a-452439213d43",2025-07-06T10:31:00Z,2025-07-06T10:31:00Z,"01f011dc-8d52-4de4-9524-780ccef3313b","a25ca145-086d-426e-9d64-e6f1a13f5a29","<p>Pending from POB1 Side</p>","11ba9c90-bb91-446a-a193-2966e5043aca"
,"15f73c37-a86a-49dd-9039-7bf66d440659",2025-10-12T10:34:40Z,2025-10-12T10:34:40Z,"01f011dc-8d52-4de4-9524-780ccef3313b","a25ca145-086d-426e-9d64-e6f1a13f5a29","<p>Hubpay pending from client side, Hubpay need to fix the API inernally first so we can test the integration and release it</p><p> </p>",
,"1f67880d-9472-4c57-bc25-850ec2015878",2026-01-24T09:57:34Z,2026-01-24T09:57:34Z,"01f011dc-8d52-4de4-9524-780ccef3313b","5c084634-6869-4e43-a13e-fbede7b594d4","<p>Social Media Credentials:</p><p>https://docs.google.com/spreadsheets/d/1kDJrIXRWmcx026NQ9gHlJpa6YLeaGpcJ8XG3LgS0FA4/edit?usp=sharing</p>","0e90ed6d-2dbc-48b2-aeea-fe5b0928abd5"
,"24154463-d6ae-45d8-b489-d7fcc2955c71",2025-11-28T05:36:36Z,2025-11-28T05:36:36Z,"01f011dc-8d52-4de4-9524-780ccef3313b","9f3c0fa1-d627-46e1-af60-4cb88b4e682c","<p>Marketing Activities Schedule</p><p>https://docs.google.com/spreadsheets/d/1KFWV8AF8S0X5CsQYwI-z5lBJ0JJPngwGbi9JvpAQfWA/edit?usp=sharing</p>","b7444ad8-e438-49ce-b78a-df4a2ed60dd8"
,"2b4f540d-bfe2-4fdb-8a0c-8ba294664d1a",2025-06-03T11:07:36Z,2025-06-03T11:07:36Z,"01f011dc-8d52-4de4-9524-780ccef3313b","86b14473-f7c1-45b3-abba-dacc255875fe","<p>1st Blogs live:</p><p>https://www.commercialpropertydxb.ae/blog-details/q1-2025-off-plan-real-estate-recap-dubais-top-5-areas </p><p> </p><p>https://elitepropertydxb.com/blogs/top-off-plan-property-areas-in-dubai-q1-2025-where-investors-are-putting-their-money </p>","73355fa0-2629-4b05-a4b2-8dc05f9bb7c5"
,"3075002a-86da-486a-ab2e-2c5ec949bb87",2026-01-05T12:36:45Z,2026-01-05T12:36:45Z,"01f011dc-8d52-4de4-9524-780ccef3313b","9f3c0fa1-d627-46e1-af60-4cb88b4e682c","<p>Marketing Campaign</p><p>https://docs.google.com/spreadsheets/d/1lpt-zngidxaNTyWpWA9mSAF9pOLYQf1h7SESPWHCYqY/edit?usp=sharing</p>","c27ec391-f198-49d2-a60e-6a3516fb252b"
,"30d7c9a3-69d2-4a4e-9679-8ec1ebe5387b",2026-01-26T11:19:12Z,2026-01-26T11:19:12Z,"01f011dc-8d52-4de4-9524-780ccef3313b","9f3c0fa1-d627-46e1-af60-4cb88b4e682c","<p>Visitor Registration Count:</p><p>https://docs.google.com/spreadsheets/d/15j5oL8E0bs0Ol5lDuOibEuW1SMx_Arms27cZDc4VNQ4/edit?usp=sharing</p>","62980c2d-3d5b-4488-8b5e-83dc24f687b3"
,"4cd67d98-fbbb-417c-a402-1112a2c74924",2026-01-05T12:31:06Z,2026-01-05T12:31:06Z,"01f011dc-8d52-4de4-9524-780ccef3313b","9f3c0fa1-d627-46e1-af60-4cb88b4e682c","<p>Updated Marketing Campaigns</p><p>https://docs.google.com/spreadsheets/d/1Ktr5sCcA_FrP4ogtAgG20j2vYpT2CCyqBj7r4Q58Otk/edit?usp=sharing</p>","62980c2d-3d5b-4488-8b5e-83dc24f687b3"
,"504e5e1f-b797-4714-a010-430fc81b7f95",2025-06-03T09:27:42Z,2025-06-03T09:35:37Z,"01f011dc-8d52-4de4-9524-780ccef3313b","86b14473-f7c1-45b3-abba-dacc255875fe","<p>Saira&#x27;s on leave this beginning of June. Have completed and pre-approved June SEO Deliverables for POB1</p>","1c4e95c6-0224-4b83-a7b5-c95c8d87ee28"
,"592d4e21-7a2c-4168-b4ef-a4bde1e8f104",2026-01-11T10:23:03Z,2026-01-11T10:23:03Z,"01f011dc-8d52-4de4-9524-780ccef3313b","8055f94c-ed6b-43cf-b3aa-659c790942a8","<p>On Hold - Wilson recreate New Project Version Using AI Tool</p>","ee881f4b-2fca-4714-88f7-d9da340a7837"
