"ID","Created Date","Updated Date","Owner","project","month","year","slug","Reports","company","recommendations","monthName","title","strategy"
"08e0b2ea-e89d-4ee7-ac44-26eac4b15c5b",2025-09-19T08:22:36Z,2025-09-19T08:22:36Z,"01f011dc-8d52-4de4-9524-780ccef3313b","1212678d-037b-475a-b187-a27821e2d3c8","1","2025","2025-february-743079","/reports/2025-february-743079","e5a8f142-b45d-4375-973d-f0cc776663e1",,"february",,
"11141961-85fd-4a11-ad7c-949ee8c53e40",2026-01-29T11:42:27Z,2026-01-29T11:42:27Z,,"0e90ed6d-2dbc-48b2-aeea-fe5b0928abd5","0","2026","2026-january-243416","/reports/2026-january-243416","8e973dbb-d6fd-4cf8-94a8-10f51ec8f4a0",,"january",,
"117569b7-2efc-455b-b162-a46033f8422c",2025-10-23T06:23:15Z,2025-10-23T06:23:29Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ba7b39b5-2f96-4c6b-8d55-9e6c7cbd3ea4","9","2025","2025-october-671389","/reports/2025-october-671389","18b7a26f-7f8a-456f-a7c6-d26aa1535fec",,"october",,"9d2e67d3-101d-46da-ba67-ad6e1cdce20f"
"18bef560-5193-4a03-9a54-c56b4461b06d",2025-10-06T06:47:39Z,2025-10-06T06:47:39Z,"01f011dc-8d52-4de4-9524-780ccef3313b","c27ec391-f198-49d2-a60e-6a3516fb252b","9","2025","2025-october-24990","/reports/2025-october-24990","448570ff-ae32-45a3-8790-5bca1175adae",,"october",,
"1a35bf41-7055-4a27-8505-6c31c8c904e7",2025-08-03T19:36:14Z,2025-09-01T11:31:53Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","7","2025","2025-august-29250","/reports/2025-august-29250","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc","<p>For September, the focus will be to strengthen Crypto Homes DXB’s position as the go-to authority for crypto-backed property investments, while engaging both crypto enthusiasts and real estate investors through consistent, value-driven content.</p><p> </p><p><span style=""font-weight:bold"">Content Pillars:</span></p><ol><li><span style=""font-weight:bold"">Education &amp; Awareness</span> – Simplify crypto + property basics through quick explainers, guides, and interactive Stories.</li><li><span style=""font-weight:bold"">Market Insights &amp; Trends</span> – Share data-driven updates and LinkedIn thought leadership to build credibility.</li><li><span style=""font-weight:bold"">Engagement &amp; Entertainment</span> – Leverage viral formats, quizzes, and polls to drive community interaction.</li><li><span style=""font-weight:bold"">Jake’s Take</span> – Spotlight Jake Jones as a thought leader through long-form insights, repurposed into Q&amp;A reels.</li><li><span style=""font-weight:bold"">How to Use the Website</span> – Tutorials, walkthroughs, and carousels that make the platform easy to use and drive site traffic.</li></ol><p> </p><p>The goal this month is to balance education, credibility, and engagement, while ensuring consistent delivery across Reels, static posts, Stories, and LinkedIn to increase visibility and platform adoption.</p>","august","Crypto Homes - August 2025 - Social Media Report","f41a2e6b-986f-4ea6-91be-18b5a9a6d201"
"1d93eb29-bed0-4ff8-8848-bee05ab9b987",2026-01-05T07:07:08Z,2026-01-05T07:07:08Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","2","2025","2025-march-29250","/reports/2025-march-29250","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",,"march",,
"2484ccda-b8b9-4ff8-90ae-3dc1751f2ac3",2025-08-03T19:36:21Z,2025-08-04T20:03:57Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","6","2025","2025-july-29250","/reports/2025-july-29250","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc","<p><span style=""font-weight:bold"">Key Insights</span></p><ul><li><span style=""font-weight:bold"">TikTok is a breakout performer</span> in terms of reach and views – ideal for viral, high-impact content.</li><li><span style=""font-weight:bold"">Instagram has the strongest engagement-to-follower ratio</span> and is proving to be the go-to platform for profile traffic and conversion potential.</li><li><span style=""font-weight:bold"">LinkedIn is performing modestly</span>, but aligns well with Crypto Homes’ investor-driven and B2B potential.</li><li><span style=""font-weight:bold"">Facebook shows minimal traction</span>, possibly due to limited targeting or content alignment.</li></ul><p> </p><p><span style=""font-weight:bold"">Agency Recommendations</span></p><p> </p><p>1. <span style=""font-weight:bold"">Double Down on Instagram &amp; TikTok</span></p><ul><li>Allocate 70% of creative resources and paid boosting budget here.</li><li>Focus on <span style=""font-style:italic"">value-driven content</span> like crypto FAQs, Dubai real estate highlights, behind-the-scenes, and quick explainer Reels.</li><li>Experiment with <span style=""font-weight:bold"">short-form reels (15-30s)</span> and add CTA overlays to increase profile clicks.</li><li>More engaging content focusing on reels: UCG, educational, about the founder, how to&#x27;s - boosted</li><li>Market insight posts and stories</li></ul><p> </p><p>2. <span style=""font-weight:bold"">Optimise LinkedIn for Credibility</span></p><ul><li>Position the brand as a <span style=""font-weight:bold"">thought leader</span> in crypto-backed real estate.</li><li>Share content on market insights, success stories, and team updates.</li><li>Encourage founders or leadership to repost and engage via personal profiles.</li></ul><p> </p><p>3. <span style=""font-weight:bold"">Evaluate Facebook’s Role</span></p><ul><li>Current traction is low — either shift it to a content repurposing platform or test a hyper-targeted ad strategy before scaling further.</li></ul><p> </p><p><span style=""font-weight:bold"">Note: Distribute 5 reels that were not posted this month to:</span></p><ul><li>August - 2</li><li>September - 2</li><li>October - 1</li></ul><p> </p>","july","Crypto Homes - July 2025 - Social Media Report","af4996a3-cb57-4210-afcf-186662ce5cac"
"257becf4-5ae5-4b99-a197-839d49c19194",2025-09-01T11:06:27Z,2025-10-06T04:31:04Z,"01f011dc-8d52-4de4-9524-780ccef3313b","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","8","2025","2025-september-710659","/reports/2025-september-710659","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","<p><span style=""font-weight:bold"">Double Down on Culture &amp; Lifestyle Content</span></p><ul><li>Continue producing culture-driven (behind-the-scenes, team stories, recruitment, deep dive into agents careers and professional life) and lifestyle (aspirational, human stories, environment) content these formats are clearly resonating with our audience.</li><li>Allocate more creative resourcesL time, budget, ideation to evolving those top performers into series.</li><li>Use the successful posts as blueprints: replicate structure, tone, pacing, and storytelling style in new topics or verticals.</li><li>Blend in hybrid formats: culture + project, lifestyle, so you stay relevant while maintaining reach.</li><li>Reduce investment (time/budget) on weaker formats that underperformed; reallocate those resources into culture &amp; lifestyle.</li><li>Monitor micro-metrics (saves, shares, comments) for new culture and lifestyle pieces to quickly iterate and optimise.</li></ul>","september","Elite Property DXB - September 2025 - Social Media Marketing & Website Blogs Report","f33b8bfe-c2f0-472e-bb81-6a873aa3f3af"
"27b3cee9-aab6-44de-aac7-b5c5c9a86419",2026-01-05T06:36:41Z,2026-01-05T06:36:41Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f693b9-af56-47a1-9965-98bf0326b43e","0","2026","2026-january-791373","/reports/2026-january-791373","34a2f467-ef8e-4733-b6ad-7d176e614466",,"january",,
"2b1df98e-b618-40af-94f3-29347e563580",2026-01-05T08:54:57Z,2026-01-05T08:55:12Z,"01f011dc-8d52-4de4-9524-780ccef3313b","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","0","2026","2026-january-710659","/reports/2026-january-710659","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1",,"january",,"503fc6bb-dbb0-469f-85b1-c998da9666db"
"32f49c60-5159-4750-9496-b4455cd8b1d7",2026-02-02T05:12:00Z,2026-02-02T05:12:00Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","1","2026","2026-february-29250","/reports/2026-february-29250","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",,"february",,
"380d68c5-842b-4ecd-b93c-994a2b7ab807",2026-01-05T05:51:22Z,2026-01-05T05:51:22Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","0","2025","2025-january-29250","/reports/2025-january-29250","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",,"january",,
"3a6dea06-85a3-45a2-8d45-fdc9022fca64",2026-01-02T07:27:56Z,2026-01-02T07:27:56Z,"01f011dc-8d52-4de4-9524-780ccef3313b","1212678d-037b-475a-b187-a27821e2d3c8","0","2024","2024-january-743079","/reports/2024-january-743079","e5a8f142-b45d-4375-973d-f0cc776663e1",,"january",,
"3c0ea2f4-4c0b-4cab-a579-09c5ab895649",2025-09-28T09:50:47Z,2025-09-28T09:50:47Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","3","2025","2025-april-29250","/reports/2025-april-29250","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",,"april",,
"3dc57fad-40f4-4dd5-95ef-9005bb0feb46",2025-08-05T12:49:41Z,2025-08-17T06:53:28Z,"01f011dc-8d52-4de4-9524-780ccef3313b","1212678d-037b-475a-b187-a27821e2d3c8","7","2025","2025-august-743079","/reports/2025-august-743079","e5a8f142-b45d-4375-973d-f0cc776663e1","<p> </p><p><span style=""font-weight:bold"">Notes:</span></p><p> </p><p><span style=""font-weight:bold"">Instagram Followers</span>The recent drop in Instagram follower numbers is due to Instagram’s latest platform update, where inactive, spam, and bot accounts have been systematically deactivated in line with their community guidelines. This adjustment ensures that follower counts reflect genuine, engaged users and improves overall account authenticity.</p>","august","Airstay Holiday Homes - August 2025 - Social Media Marketing Report",
