"Title","ID","Created Date","Updated Date","Owner","post","postingDate","amount","temporarySpendId","platform","project","company"
,"00382b2c-65f7-4370-996c-9db0c8877eed",2025-10-15T06:03:52Z,2025-10-15T06:04:30Z,"01f011dc-8d52-4de4-9524-780ccef3313b","573a3a7b-3b9c-4236-be07-643d59b39af1",2025-10-13T20:00:00Z,52,,"TikTok","be5a7ff1-e84f-43fb-b6de-579ec9c8315d",
,"00709c4f-395a-4e0a-8035-3206cbff2810",2026-03-01T10:46:12Z,2026-03-01T10:46:27Z,"01f011dc-8d52-4de4-9524-780ccef3313b","9ea58486-c334-4b62-9ba2-809e4d715a55",2026-02-26T20:00:00Z,50,,"Instagram","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Elite Property Brokerage LLC"
,"00a28ba7-42b6-45b7-9714-b97560e1e4ee",2025-12-25T10:09:41Z,2025-12-26T06:49:39Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ce1a955e-d53b-4cff-a449-a84929c0b888",2025-12-22T20:00:00Z,50,,"Instagram","c27ec391-f198-49d2-a60e-6a3516fb252b",
,"00b21cd6-f6ea-41ef-8e6a-a84e81010fc5",2026-01-27T05:21:45Z,2026-02-22T08:30:22Z,"01f011dc-8d52-4de4-9524-780ccef3313b","bf43e871-18c6-4d29-8af9-c8650b8cb667",2026-01-22T20:00:00Z,50,,"TikTok","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Code DXB 2026"
,"012a9b9d-d427-4825-be32-af69da49e1a8",2026-02-09T08:12:56Z,2026-02-10T10:02:33Z,"01f011dc-8d52-4de4-9524-780ccef3313b","2378230b-ff5f-4515-9d78-01258ecc4aed",2026-01-29T20:00:00Z,50,,"TikTok","fe6eef75-85a6-4b38-9c21-2c3079846288",
,"013c4ede-846e-4e23-a7ed-d17b2cd438a5",2025-09-25T05:25:22Z,2025-09-25T05:25:36Z,"01f011dc-8d52-4de4-9524-780ccef3313b","84db84c8-bafb-4e13-8762-2985afe919dd",2025-09-22T20:00:00Z,50,,"Instagram","1212678d-037b-475a-b187-a27821e2d3c8",
,"015ba34e-961a-447e-8deb-f18655ef9f67",2026-02-27T08:44:29Z,2026-02-27T08:44:33Z,"01f011dc-8d52-4de4-9524-780ccef3313b","b45542cb-2f95-4c8b-a1cd-bc499bda7258",2026-02-02T20:00:00Z,100,,"Instagram","90f693b9-af56-47a1-9965-98bf0326b43e","Esperia Volleyball Academy LLC "
,"018a6b80-438b-4cad-b6a3-8ed6204b648f",2025-12-23T06:43:55Z,2025-12-26T12:45:27Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ac2dd607-aa04-4cbf-8f4f-0a6c90b1d783",2025-12-21T20:00:00Z,50,,"Instagram","90f5bb8e-1da9-441f-b63b-1941b663318b",
,"01d12e33-aefa-41ea-9726-785bf363a936",2025-12-22T07:16:29Z,2025-12-22T07:16:50Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ac644a54-7431-4ff6-b478-7965d195eb96",2025-12-18T20:00:00Z,50,,"Instagram","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd",
,"01da7ad8-5783-43d1-ad25-3cdd9f3e1f72",2025-08-16T12:25:49Z,2025-08-16T12:25:55Z,"01f011dc-8d52-4de4-9524-780ccef3313b","5581c4ed-f09d-4d5f-9cfb-cf236fc0f41c",2025-08-07T20:00:00Z,100,,"TikTok","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd",
